Project Name ,Developer Name,Location,Asset Type,Unit Type,BUA,Land Area,Garden,Unit Price,PSM,Payment yrs raw,Payment Yrs,Down Payment ,Delivery %,Cash discount,Delivery Date,Finishing Specs.,Maintenance,Phase,Date of Update,Updated by,Source of info.,Months from Update,Notes,Offering
Ever,Cred,6th of October,Commercial,Office,115,,,13540906,117747.0087,8,8 Yrs,0.1,,,2029,Core & Shell,,,2025-06-25,Farah,Direct Sales,07,,Rent
Ever,Cred,6th of October,Commercial,Office,245,,,30500637,124492.3959,8,8 Yrs,0.1,,,2029,Core & Shell,,,2025-06-25,Farah,Direct Sales,07,,Sell
Ever,Cred,6th of October,Commercial,Office,225,,,33677406,149677.36,8,8 Yrs,0.1,,,2029,Core & Shell,,,2025-06-25,Farah,Direct Sales,07,,Sell
Ever,Cred,6th of October,Commercial,Office,75,,,10409252,138790.0267,8,8 Yrs,0.1,,,2029,Core & Shell,,,2025-06-25,Farah,Direct Sales,07,,Sell
Ever,Cred,6th of October,Commercial,Clinic,66,,,15359234,232715.6667,8,8 Yrs,0.1,,,2029,Core & Shell,,,2025-06-25,Farah,Direct Sales,07,,Sell
Ever,Cred,6th of October,Commercial,Clinic,80,,,17881834,223522.925,8,8 Yrs,0.1,,,2029,Core & Shell,,,2025-06-25,Farah,Direct Sales,07,,Sell
Ever,Cred,6th of October,Commercial,Clinic,45,,,10084248,224094.4,8,8 Yrs,0.1,,,2029,Core & Shell,,,2025-06-25,Farah,Direct Sales,07,,Sell
Ever,Cred,6th of October,Commercial,Clinic,36,,,7929242,220256.7222,8,8 Yrs,0.1,,,2029,Core & Shell,,,2025-06-25,Farah,Direct Sales,07,,Sell
Ever,Cred,6th of October,Residential,Apartment,196,,,17321956,88377.32653,8,8 Yrs,0.1,,,2029,Fully Finished,,,2025-06-25,Farah,Direct Sales,07,,Sell
Ever,Cred,6th of October,Residential,Apartment,215,,,18252598,84895.80465,8,8 Yrs,0.1,,,2029,Fully Finished,,,2025-06-25,Farah,Direct Sales,07,,Sell
Ever,Cred,6th of October,Residential,Apartment,155,,,13765022,88806.59355,8,8 Yrs,0.1,,,2029,Fully Finished,,,2025-06-25,Farah,Direct Sales,07,,Sell
